,FINN-kode,Title,Address,Prisantydning,lat,lng,url,Omkostninger,Totalpris,Felleskost/mnd.,Boligtype,Eieform,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Rom,Tomteareal,Bruttoareal,Fellesformue,Formuesverdi,Fellesgjeld,Energimerking,Pris med fellesgjeld,Renovert år,Mobil,Eierskifte-forsikring,Kommunale avg.,Tomt,Festeavgift,Fax,Felleskost/mnd. etter avdragsfri periode,Sikringsordning,Grunnflate,Utleiedel,Verditakst,Låneverdi,Lånetakst,Telefon,price,area,price_per_m2,predicted_price,priceyness
0,159288469,"Attraktiv, lys og klassisk 4/5-roms selveiet hjørneleilighet med solrik balkong og peis. Perfekt for utleie!","Middelthuns gate 13, 0368 Oslo",6490000.0,59.9269,10.7127,https://www.finn.no/realestate/homes/ad.html?finnkode=159288469,177522.0,6667522.0,4439.0,Leilighet,Eier (Selveier),3,89.0,89.0,4,1909,4,307.0,100.0,22076.0,1810886.0,,,,,,,,,,,,,,,,,,,6667522.0,89.0,74915.97752808989,5994775.202959132,0.10635998630103849
1,166286918,Nyoppusset og lekker 5-roms med heisadkomst - 2 solrike terrasser - flott utsikt - peis - garasje - T-bane like ved,"Ullern Allé 75, 0381 Oslo",13500000.0,59.92847,10.650056,https://www.finn.no/realestate/homes/ad.html?finnkode=166286918,350042.0,13902741.0,5115.0,Leilighet,Eier (Selveier),3,149.0,149.0,4,1982,,43595.0,158.0,69318.0,2209419.0,52699.0,E - rød,,,,,,,,,,,,,,,,,13902741.0,149.0,93306.9865771812,9146345.167976363,0.41873165064291484
2,165884370,GRÜNERLØKKA/RODELØKKA: Attraktiv 4-r leilighet. Garasjeplass (plass til 2 biler). Elbil-lader. Felles takterrasse. Heis.,"Malmøgata 11, 0566 Oslo",6500000.0,59.926716,10.767245,https://www.finn.no/realestate/homes/ad.html?finnkode=165884370,163722.0,6663722.0,3785.0,Leilighet,Eier (Selveier),3,92.0,92.0,3,2014,4,1548.0,101.0,7724.0,1657495.0,,,,,,,,,,,,,,,,,,,6663722.0,92.0,72431.76086956522,6152353.701209994,0.07984346306232482
3,166044427,Holmenkollen/Voksenkollen: Familievennlig enebolig fra 2007. Attraktiv beliggenhet. Flotte uteplasser. Gode solforhold.,"Veslekleiva 1 C, 0788 Oslo",8550000.0,59.97035,10.651749,https://www.finn.no/realestate/homes/ad.html?finnkode=166044427,214972.0,8764972.0,,Enebolig,Eier (Selveier),3,106.0,112.0,,2007,4,510.0,128.0,,,,D - rød,,,,,,,,,,,,,,,,,8764972.0,112.0,78258.67857142857,7202877.022882404,0.19628279112439628
4,165992065,"BIRKELUNDEN: Nydelig, klassisk 3-roms med særegen atmosfære. Stukkatur og rosett. Peisovn. Attraktiv beliggenhet!","Schleppegrells gate 17 A, 0556 Oslo",5200000.0,59.927086,10.762541,https://www.finn.no/realestate/homes/ad.html?finnkode=165992065,131222.0,5331222.0,3659.0,Leilighet,Eier (Selveier),2,68.0,68.0,2,1896,3,364.0,77.0,6015.0,,,F - oransje,,,,,,,,,,,,,,,,,5331222.0,68.0,78400.32352941176,4891725.715203101,0.08603533196822255
5,165823979,"Kjedet enebolig på enden med solrike uteplasser, skjermet hage og garasje. Fantastisk beliggenhet ved marka. IN-ordning.","Thorn Dønhaugs vei 26, 1271 Oslo",3400000.0,59.8269,10.8313,https://www.finn.no/realestate/homes/ad.html?finnkode=165823979,8048.0,4403256.0,12656.0,Enebolig,Andel,6,137.0,140.0,,2004,4,25387.0,154.0,,1413364.0,995208.0,G - gul,,,,,,,,,,,,,,,,,4403256.0,140.0,31451.82857142857,8673609.673223779,-0.6779407775131059
6,165889834,Arealeffektiv og gjennomgående 5-roms leilighet over to plan med hele 3 balkonger. Flott utsikt over Oslo By og helt til,"Valhallveien 9, 0196 Oslo",6300000.0,59.9008,10.7866,https://www.finn.no/realestate/homes/ad.html?finnkode=165889834,8520.0,7153332.0,7336.0,Leilighet,Andel,4,117.0,123.0,2,1977,5,15185.0,136.0,118920.0,1651667.0,844812.0,F - rød,,,,,,,,,,,,,,,,,7153332.0,123.0,58157.170731707316,7780664.84980223,-0.0840635286707645
7,166269144,Sjelden mulighet i Petersborgkvartalet - Lekker 4-R i topp/ende m. sydvestvendt balkong - Garasje med EL - Barnevennlig!,"Sigurd Hoels vei 59, 0655 Oslo",6400000.0,59.9176,10.7872,https://www.finn.no/realestate/homes/ad.html?finnkode=166269144,166972.0,6566972.0,3296.0,Leilighet,Eier (Selveier),3,79.0,79.0,5,2017,4,9779.0,88.0,6434.0,1339581.0,,D - mørkegrønn,,,,,,,,,,,,,,,,,6566972.0,79.0,83126.22784810126,5469513.542122927,0.18286316294779503
8,165891547,Meget sjarmerende og koselig 3-roms med solrik vestvendt balkong | Peis | God takhøyde | Varmtvann inkl i f.kost,"Maridalsveien 162D, 0461 Oslo",4800000.0,59.9386,10.7571,https://www.finn.no/realestate/homes/ad.html?finnkode=165891547,,,5879.0,Leilighet,Andel,2,68.0,68.0,3,1900,3,551.0,,,1195366.0,175341.0,,4975341.0,2019,934 65 319,,,,,,,,,,,,,,4800000.0,68.0,70588.23529411765,4891725.715203101,-0.01892923031040894
9,166160771,Lekker og gjennomgående 3-roms med sydvendt balkong og peis. Populær beliggenhet med utsikt ut mot Torshovdalen!,"Edvard Griegs allé 7A, 0479 Oslo",4650000.0,59.938,10.7785,https://www.finn.no/realestate/homes/ad.html?finnkode=166160771,8219.0,4961219.0,3323.0,Leilighet,Andel,2,69.0,69.0,1,1952,3,21295.0,76.0,9194.0,1208589.0,303000.0,G - rød,,,418 55 666,,,,,,,,,,,,,,4961219.0,69.0,71901.72463768115,4944251.881286722,0.0034258109504783363
10,165412849,Flott 2-roms rekkehusleilighet fra 2015|Idyllisk beliggenhet ved marka|2 uteplasser|Gode solforhold|Peis|Hems|Parkering,"Rødkleivfaret 1G, 0788 Oslo",3490000.0,59.9823,10.6542,https://www.finn.no/realestate/homes/ad.html?finnkode=165412849,86222.0,3576222.0,1755.0,Leilighet,Eier (Selveier),1,40.0,40.0,1,2015,2,9501.0,46.0,2753.0,1409029.0,,C - oransje,,,476 22 523,,,,,,,,,,,,,,3576222.0,40.0,89405.55,3420993.064861727,0.044376057153302284
11,165913868,Lys 1(2)-roms med stor sydvestvendt markterrasse - adskilt soverom med vindu - kort vei til offentlig kommunikasjon,"Vestre Haugen 70, 1054 Oslo",2300000.0,59.9477,10.8995,https://www.finn.no/realestate/homes/ad.html?finnkode=165913868,8219.0,2496219.0,2432.0,Leilighet,Andel,1,43.0,43.0,1,1975,2,11952.0,48.0,28793.0,561813.0,188000.0,E - rød,,,454 70 505,,,,,,,,,,,,,,2496219.0,43.0,58051.604651162794,3578571.5631125886,-0.36018652902905757
12,166245572,Tøff og arealeffektiv 2-roms | Terrasse | Lave fk inkl. fyring/vv. | Standard fra 2015 | Felles takterrasse,"Stavangergata 46A, 0467 Oslo",2600000.0,59.9444,10.7588,https://www.finn.no/realestate/homes/ad.html?finnkode=166245572,8357.0,2871357.0,3504.0,Leilighet,Andel,1,25.0,25.0,1,1955,2,2234.0,29.0,14377.0,666032.0,263000.0,D - mørkegrønn,,,418 55 666,,,,,,,,,,,,,,2871357.0,25.0,114854.28,2633100.573607419,0.08662266319701395
13,166284486,"Lys og fin 4-roms leilighet med vestvendt balkong - garasjeplass - nær marka, butikker og kollektivtransport","Aslakveien 23, 0753 Oslo",5700000.0,59.940586,10.649363,https://www.finn.no/realestate/homes/ad.html?finnkode=166284486,161110.0,6053329.0,4092.0,Leilighet,Eier (Selveier),3,90.0,90.0,2,1965,,8567.0,98.0,21568.0,1455915.0,192219.0,E - oransje,,,,Ja,,,,,,,,,,,,,6053329.0,90.0,67259.21111111112,6047301.369042752,0.0009962508186696084
14,166281082,"Ny, vertikaldelt tomannsbolig. 3 plan. Takterrasse med 360 graders utsikt. 3 bad. 3 soverom. Kastellet skolekrets.","Oberst Rodes vei 7B, 1176 Oslo",11200000.0,59.877914,10.803279,https://www.finn.no/realestate/homes/ad.html?finnkode=166281082,,,,Tomannsbolig,Eier (Selveier),3,160.0,191.0,,2019,,1708.0,,,,,B - oransje,,,,,,,,,,,,,,,,,11200000.0,191.0,58638.74345549738,11352444.143488424,-0.013519285482004761
15,166256780,"Innbydende og moderne 2-roms med sentral beliggenhet | Kort vei til off.komm | Solrik, innglasset balkong | Fyring inkl.","Bergensveien 20, 0963 Oslo",2600000.0,59.9631,10.8827,https://www.finn.no/realestate/homes/ad.html?finnkode=166256780,12075.0,2840075.0,3032.0,Leilighet,Aksje,1,42.0,50.0,1,1951,2,7639.0,55.0,,582541.0,228000.0,G - mørkegrønn,,,450 63 919,,,,,,,,,,,,,,2840075.0,50.0,56801.5,3946254.725697932,-0.32893649813033043
16,166278118,"Sjarmerende 2-roms selveierleilighet med fyring, VV inkludert. El anlegg 18. Glimrende førstegangskjøp / utleieobjekt.","Rødstuveien 6, 0572 Oslo",3050000.0,59.92969,10.783706,https://www.finn.no/realestate/homes/ad.html?finnkode=166278118,94642.0,3205642.0,2967.0,Leilighet,Eier (Selveier),1,36.0,36.0,2,1939,2,3021.0,,13746.0,754169.0,61000.0,F - mørkegrønn,,,,Ja,,,,,,,,,,,,,3205642.0,36.0,89045.61111111111,3210888.400527245,-0.0016352768143796936
17,165950545,Bjerke/Linderud - Spennende 2-roms oppussingsobjekt - Effektiv planløsning - Balkong - P.plass - Kort vei til tbane,"Sletteløkka 22A, 0597 Oslo",2350000.0,59.9468,10.8471,https://www.finn.no/realestate/homes/ad.html?finnkode=165950545,70792.0,2471792.0,2457.0,Leilighet,Eier (Selveier),1,37.0,37.0,1,1962,2,56783.0,40.0,16249.0,669403.0,51000.0,F - mørkegrønn,,,,,,,,,,,,,,,,,2471792.0,37.0,66805.18918918919,3263414.5666108653,-0.2778306666346406
18,159094823,Rålekker og stilren 3-roms med supersentral beliggenhet - Oppusset i 2019 - Solrik vestvendt balkong - Flytt rett inn!,"HELGESENS GATE 79 A, 0563 Oslo",4450000.0,59.921474,10.775634,https://www.finn.no/realestate/homes/ad.html?finnkode=159094823,18975.0,4724975.0,3204.0,Leilighet,Aksje,2,57.0,57.0,,1952,3,4461.0,64.0,10882.0,,256000.0,G - rød,,,,Ja,,,,,,,,,,,,,4724975.0,57.0,82894.29824561403,4313937.888283275,0.09101111977212462
19,146088116,"Attraktiv frittliggende enebolig over 3 plan med flott, skjermet hage, garasje og biloppstillingsplasser. Barnevennlig","BEKKEVEIEN 16 A + B, 0678 Oslo",8990000.0,59.90529,10.819027,https://www.finn.no/realestate/homes/ad.html?finnkode=146088116,239900.0,9229900.0,,Enebolig,Eier (Selveier),3,140.0,155.0,,1987,5,629.0,170.0,,1900860.0,,F - oransje,,,,Ja,14729.0,,,,,,,,,,,,9229900.0,155.0,59547.74193548387,9461502.164478086,-0.024782947408965583
20,166273793,"Tiltalende, moderne 2-roms andelsleilighet med peis og balkong - Mulighet for leie av p-plass med el-lader!","Kvartsveien 9, 1158 Oslo",3250000.0,59.86499,10.825506,https://www.finn.no/realestate/homes/ad.html?finnkode=166273793,15119.0,3438545.0,2546.0,Leilighet,Andel,1,52.0,52.0,2,1956,2,70721.0,57.0,14160.0,840768.0,173426.0,E - rød,,,,,,,,,,,,,,,,,3438545.0,52.0,66125.86538461539,4051307.057865173,-0.1639911425952416
