,Address,Boligtype,Bruksareal,Bruttoareal,Byggeår,Eieform,Eierskifte-forsikring,Energimerking,Etasje,FINN-kode,Fellesformue,Fellesgjeld,Felleskost/mnd.,Formuesverdi,Omkostninger,Primærrom,Prisantydning,Soverom,Title,Tomteareal,Totalpris,lat,lng,url,Rom,Kommunale avg.,Mobil,Renovert år,Festeavgift,Pris med fellesgjeld,Fax,Tomt,Felleskost/mnd. etter avdragsfri periode,Sikringsordning,Grunnflate,Utleiedel,Låneverdi,Verditakst,Lånetakst,Telefon
0,"Landingsveien 84, 0767 Oslo",Leilighet,76.0,82.0,1974,Andel,Ja,G - rød,8,166244309,9690.0,61000.0,3387.0,1267268.0,15257.0,74.0,5600000.0,2,"UTSIKTSPOST PÅ RØA | 3-roms i 8.etg. med fantastiske sol- og utsiktsforhold, 25m2 balkong og garasjeplass. Velkommen opp",57614.0,5676257.0,59.953114,10.6517515,https://www.finn.no/realestate/homes/ad.html?finnkode=166244309,,,,,,,,,,,,,,,,
1,"Arups gate 22A, 0192 Oslo",Leilighet,27.0,31.0,1894,Andel,Ja,F - rød,2,166268747,28043.0,,3012.0,567565.0,,27.0,2800000.0,1,Lys og luftig 2-roms i klassisk bygård med sentral beliggenhet - God takhøyde og praktisk planløsning - Strøm inkl. i FK,767.0,,59.906948,10.771861,https://www.finn.no/realestate/homes/ad.html?finnkode=166268747,2,,,,,,,,,,,,,,,
2,"Pilotveien 8, 0770 Oslo",Leilighet,61.0,68.0,1963,Andel,,F - rød,9,166268719,9426.0,267620.0,3911.0,1162613.0,15147.0,61.0,3780000.0,2,"Lekker og moderne 3-roms toppleilighet med fantastisk utsikt, Balkong, Heis, Innsynsfri og privat atmosfære ved marka",11572.0,4062767.0,59.94997,10.659227,https://www.finn.no/realestate/homes/ad.html?finnkode=166268719,3,,,,,,,,,,,,,,,
3,"Ravnkollbakken 68, 0971 Oslo",Leilighet,102.0,105.0,1972,Andel,Ja,G - rød,4,166268546,11858.0,492000.0,6685.0,948716.0,12447.0,84.0,2350000.0,3,Gjennomgående og romslig 4-roms med innglasset balkong på 12m2 - Utsikt - Garasjeplass - Barnevennlig!,19918.0,2854447.0,59.968758,10.891562,https://www.finn.no/realestate/homes/ad.html?finnkode=166268546,4,,,,,,,,,,,,,,,
4,"Hauchs gate 2B, 0174 Oslo",Leilighet,52.0,57.0,1897,Andel,Ja,G - rød,5,166268056,28084.0,245000.0,4896.0,,7960.0,52.0,4250000.0,2,Lekker og nyoppusset 3-roms loftsleilighet med loftstue/messanin. Høy standard. 4 meter takhøyde. Sentral beliggenhet,348.0,4502960.0,59.926826,10.75145,https://www.finn.no/realestate/homes/ad.html?finnkode=166268056,3,,,,,,,,,,,,,,,
5,"Lerdalstoppen 2, 1258 Oslo",Rekkehus,107.0,120.0,1982,Andel,Ja,E - lysegrønn,1,166267633,32890.0,55000.0,3855.0,1108067.0,15147.0,98.0,3650000.0,3,Halv tomannsbolig. 107 m² BRA. 3 soverom. Solrikt. Hage. 3 uteplasser. Garasjeplass. Barnevennlig. Moderniseringsbehov.,22800.0,3720147.0,59.83649,10.801302,https://www.finn.no/realestate/homes/ad.html?finnkode=166267633,,,,,,,,,,,,,,,,
6,"Hagegata 39 B, 0653 Oslo",Leilighet,43.0,,1899,Andel,Ja,G - rød,6,166267511,10794.0,218000.0,5040.0,780487.0,7932.0,43.0,3200000.0,1,"TØYEN: Arkitekttegnet, særegen 2-r loftsleil. i 6. etg - Heis - Varmtvann, TV&nett ink. Topp beliggenhet, like v. T-bane",494.0,3425932.0,59.913128,10.776392,https://www.finn.no/realestate/homes/ad.html?finnkode=166267511,2,,,,,,,,,,,,,,,
7,"Henrik Klausens gate 4, 0452 Oslo",Leilighet,105.0,116.0,1903,Eier (Selveier),,G - rød,3,166267564,26716.0,2871.0,4634.0,1879020.0,225575.0,105.0,8300000.0,3,Klassisk 4- roms hjørneleilighet I 3 soverom I Garasjeplass I Balkong I Rosett & stukkatur I Populær beliggenhet,1378.0,8528446.0,59.930187,10.734125,https://www.finn.no/realestate/homes/ad.html?finnkode=166267564,4,,,,,,,,,,,,,,,
8,"Bøkkerveien 10 C, 0579 Oslo",Leilighet,33.0,37.0,2019,Eier (Selveier),,B - mørkegrønn,3,163572101,,,1465.0,786845.0,88450.0,33.0,3190000.0,,Fabrikkleilighet fra 2019 med skikkelig New York følelse | Høy Standard | Vannbåren gulvvarme | Heis | Utbyggergaranti,12371.0,3278450.0,59.927887,10.795346,https://www.finn.no/realestate/homes/ad.html?finnkode=163572101,1,,,,,,,,,,,,,,,
9,"Erling Skjalgssons gate 20 B (indre gård), 0267 Oslo",Leilighet,103.0,120.0,1900,Eier (Selveier),,F - oransje,4,160487117,17982.0,140096.0,4365.0,2003132.0,240950.0,103.0,9150000.0,2,Nyoppusset (2019) og lekker 3-roms selveier beliggende i indre gårdsrom I Vestvendt balkong I 2 bad I Peis,1032.0,9531046.0,59.919346,10.701527,https://www.finn.no/realestate/homes/ad.html?finnkode=160487117,3,,,,,,,,,,,,,,,
10,"Rødtvetkroken 4A, 0956 Oslo",Tomannsbolig,190.0,211.0,1982,Eier (Selveier),,F - rød,,166104208,,,,1633490.0,201252.0,161.0,8000000.0,4,Hel tomannbolig o/2 plan | Meget barnevennlig | Nær marka | Stort potensial | Utleiemulighet | Oppussingsbehov |,589.0,8201252.0,59.9545,10.8616,https://www.finn.no/realestate/homes/ad.html?finnkode=166104208,6,9392.0,,,,,,,,,,,,,,
11,"Markveien 56E, 0550 Oslo",Leilighet,72.0,80.0,1889,Andel,,F - oransje,2,165894270,,1444989.0,9086.0,,8220.0,69.0,3850000.0,2,Klassisk og gjennomgående 3(4)-roms - To solrike balkonger - Peis - Separat kjøkken - IN-ordning - Sentralt og rolig!,1195.0,5303209.0,59.9197,10.7582,https://www.finn.no/realestate/homes/ad.html?finnkode=165894270,3,,971 99 566,2019,,,,,,,,,,,,
12,"Sletteløkka 42 F, 0597 Oslo",Leilighet,89.0,98.0,1959,Eier (Selveier),Ja,E - rød,3,166266339,7582.0,251000.0,5206.0,,91920.0,74.0,2980000.0,2,Meget velholdt 3 opprinnelig 4-roms selveierleilighet med moderniseringsbehov - 3 etg - Flott innglasset balkong!,35787.0,3322920.0,59.94978,10.850072,https://www.finn.no/realestate/homes/ad.html?finnkode=166266339,3,,,,,,,,,,,,,,,
13,"Folke Bernadottes vei 6, 0862 Oslo",Leilighet,45.0,50.0,1960,Andel,,F - rød,2,165940029,,22000.0,2796.0,1341019.0,,45.0,3750000.0,2,"Innbydende 3-roms leilighet med flotte oppgraderinger, balkong og attraktiv beliggenhet med umiddelbar nærhet til marka.",4194.0,,59.9648,10.7378,https://www.finn.no/realestate/homes/ad.html?finnkode=165940029,,,994 24 971,,13449.0,3772000.0,,,,,,,,,,
14,"Rostockgata 60, 0194 Oslo",Leilighet,54.0,60.0,2019,Eier (Selveier),,C - rød,3,160158008,,,2608.0,,172022.0,54.0,6200000.0,2,Bjørvika/Eufemias plass - Ny & lekker 3-roms selveier kun få meter fra sjøen! Stor solrik balkong på 16 kvm - Utsikt,1248.0,6372022.0,59.9066,10.7605,https://www.finn.no/realestate/homes/ad.html?finnkode=160158008,3,,,,,,,,,,,,,,,
