,FINN-kode,Title,Address,Prisantydning,lat,lng,url,Fellesgjeld,Omkostninger,Totalpris,Felleskost/mnd.,Boligtype,Eieform,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Rom,Tomteareal,Bruttoareal,Fellesformue,Eierskifte-forsikring,Formuesverdi,Mobil,Kommunale avg.,Renovert år,Tomt,Telefon,Festeavgift,Verditakst,Pris med fellesgjeld,Lånetakst,Fax,Felleskost/mnd. etter avdragsfri periode,Sikringsordning,Grunnflate,Utleiedel,Låneverdi,price,area,price_per_m2,predicted_price,priceyness
0,157469688,Tiltalende og urban 3-roms selveierleil. med terrasse og garasje. Sentralt og barnevennlig. NY I  2018!,"Bjarne Haugens gate 10, 1475 Finstadjordet",3700000.0,59.9172,10.9556,https://www.finn.no/realestate/homes/ad.html?finnkode=157469688,5501.0,98310.0,3803811.0,3329.0,Leilighet,Eier (Selveier),2,59.0,63.0,1,2018,B - mørkegrønn,3,711.0,72.0,10958.0,,,,,,,,,,,,,,,,,,3803811.0,63.0,60377.95238095238,4139615.3279572297,-0.0845994086616706
1,157706675,"Pen leilighet med mulighet for 3 soverom. Flott hage, solrik veranda. Ny garasje m/ EL- billader. Lave omk!","Eikelisvingen 4, 1400 Ski",3490000.0,59.7077,10.83603,https://www.finn.no/realestate/homes/ad.html?finnkode=157706675,272000.0,1060.0,3763060.0,3930.0,Leilighet,Andel,2,77.0,77.0,,1956,G - oransje,,13718.0,83.0,13454.0,Ja,849332.0,,,,,,,,,,,,,,,,3763060.0,77.0,48870.90909090909,4531339.452843573,-0.18578512453405516
2,166006845,Moderne og lekker 2-roms fra 2015. Balkong med flott utsikt. Lave felleskostnader. Meget sentral beliggenhet,"Rostockgata 24, 0191 Oslo",4250000.0,59.9075,10.7616,https://www.finn.no/realestate/homes/ad.html?finnkode=166006845,,107506.0,4357506.0,2132.0,Leilighet,Eier (Selveier),1,40.0,40.0,9,2015,B - lysegrønn,2,1965.0,,,,,909 34 214,,,,,,,,,,,,,,,4357506.0,40.0,108937.65,3496068.5513582374,0.22026080923428104
3,165826556,OPPUSSINGSOBJEKT | Spennende og stor 3-roms med stor balkong | 2 soverom | Mye muligheter | Barnevennlig | 1. etasje,"Ålesundgata 3A, 0470 Oslo",4500000.0,59.9389,10.7617,https://www.finn.no/realestate/homes/ad.html?finnkode=165826556,202000.0,8219.0,4710219.0,3824.0,Leilighet,Andel,2,86.0,86.0,1,1951,E - oransje,4,3187.0,,47238.0,,1260992.0,413 57 572,,,,,,,,,,,,,,,4710219.0,86.0,54769.98837209302,4783162.1045562215,-0.01536745217723734
4,163296927,"Stor og fin eneboilig  - Godkjent utleiedel - Fint opparbeidet og stor tomt på 1,3 mål - Garasje - Usjenert beliggenhet","Nedre Prinsdals vei 90A, 1263 Oslo",5600000.0,59.8288,10.8093,https://www.finn.no/realestate/homes/ad.html?finnkode=163296927,,141222.0,5741222.0,,Enebolig,Eier (Selveier),4,154.0,165.0,,1973,E - gul,5,1300.0,182.0,,,1653464.0,413 67 981,15692.0,,,,,,,,,,,,,,5741222.0,165.0,34795.28484848485,6993605.380700586,-0.1973241348423027
5,166215716,Pen 3-roms m/flott utsikt - vestvendt terrasse på ca. 40 m² - biloppstillingspl - lave felleskost. - meget barnevennlig!,"Elgtråkket 50B, 1270 Oslo",3150000.0,59.8331,10.8322,https://www.finn.no/realestate/homes/ad.html?finnkode=166215716,,79972.0,3229972.0,2067.0,Leilighet,Eier (Selveier),2,77.0,77.0,1,1996,E - rød,3,13081.0,83.0,12449.0,,843093.0,466 83 444,,,,,,,,,,,,,,,3229972.0,77.0,41947.68831168831,4531339.452843573,-0.33854411227685155
6,166295875,Perfekt førstegangskjøp! Romslig 2-roms. Ingen dok.avgift/forkjøpsrett! | Sentral beliggenhet. V.vann/fyring inkl,"Trondheimsveien 174, 0570 Oslo",2990000.0,59.9318,10.7782,https://www.finn.no/realestate/homes/ad.html?finnkode=166295875,208028.0,1032.0,3199060.0,3212.0,Leilighet,Andel,1,40.0,40.0,2,1936,F - mørkegrønn,1,1879.0,44.0,,,797947.0,938 06 588,,,,,,,,,,,,,,,3199060.0,40.0,79976.5,3496068.5513582374,-0.088782049460427
7,166322421,Lekker 2-roms leilighet med solrik balkong I Perfekt førstegangskjøp/utleieobjekt I Heis I Lave f.kost I Rolig,"Lørenveien 35, 0585 Oslo",3190000.0,59.931416,10.788969,https://www.finn.no/realestate/homes/ad.html?finnkode=166322421,,88450.0,3278450.0,1834.0,Leilighet,Eier (Selveier),1,37.0,37.0,4,2013,B - mørkegrønn,2,2406.0,41.0,10612.0,,786845.0,,,,,,,,,,,,,,,,3278450.0,37.0,88606.75675675676,3412127.667454021,-0.03996529639162105
8,166247720,"Lys og romslig 2-roms med fantastisk beliggenhet i populært borettslag | V.vann, fyring inkl. | Oppgraderingsbehov","Trondheimsveien 105, 0565 Oslo",3200000.0,59.9246,10.7752,https://www.finn.no/realestate/homes/ad.html?finnkode=166247720,82030.0,8357.0,3290387.0,3805.0,Leilighet,Andel,1,52.0,52.0,3,1941,G - rød,2,9284.0,60.0,16192.0,,951969.0,986 89 090,,,,,,,,,,,,,,,3290387.0,52.0,63276.67307692308,3831832.086975103,-0.152337853470641
9,166321805,GJENNOMGÅENDE 3-R TOPP-/HJØRNELEILIGHET | Vestvendt balkong | Oppusset | Utsikt | Populært nabolag | Barnevennlig,"Maridalsveien 284, 0872 Oslo",4600000.0,59.95149,10.760569,https://www.finn.no/realestate/homes/ad.html?finnkode=166321805,86309.0,15035.0,4701344.0,3255.0,Leilighet,Andel,2,67.0,67.0,3,1950,,,5158.0,73.0,,,1258275.0,,,,,,,,,,,,,,,,4701344.0,67.0,70169.31343283581,4251536.5064961845,0.10056797674474183
