,FINN-kode,Title,Address,Prisantydning,lat,lng,url,Omkostninger,Totalpris,Kommunale avg.,Boligtype,Eieform,Soverom,Primærrom,Bruksareal,Byggeår,Energimerking,Rom,Tomteareal,Bruttoareal,Eierskifte-forsikring,Formuesverdi,Søn.,,Tir.,Felleskost/mnd.,Etasje,Man.,Fellesgjeld,Ons.,Mobil,Fellesformue,Tomt,Tor.,Telefon,Fax,Renovert år,Festeavgift,Felleskost/mnd. etter avdragsfri periode,Pris med fellesgjeld,Verditakst,Sikringsordning,Grunnflate,Lør.,Låneverdi,Fre.,Solgtpris,Lånetakst,Utleiedel,price,area,price_per_m2,predicted_price,priceyness
0,176084491,Fantastisk og unik mulighet - Skattefrie utleiemuligheter - Nydelig tomt - Dobbelgarasje og høy standard - Bør sees!,"Veksthusfløtten 55, 0594 Oslo",14000000.0,59.941986,10.831013,https://www.finn.no/realestate/homes/ad.html?finnkode=176084491,365670.0,14365670.0,6306.0,Enebolig,Eier (Selveier),8,374.0,442.0,1964,D - gul,12,1425.0,491.0,Ja,3850902.0,26. april,1700 - 1800,28. april,,,,,,,,,,,,,,,,,,,,,,,,,14365670.0,442.0,32501.51583710407,29501785.964518115,-0.7196094701980833
1,169474873,"Nyoppusset leilighet med fjordutsikt. Hage, peis, garasje og to biloppstillingsplasser. Høy standard. Hel toppetasje.","Drammensveien 82 D, 0271 Oslo",19500000.0,59.9139,10.701676,https://www.finn.no/realestate/homes/ad.html?finnkode=169474873,7072.0,19507072.0,,Leilighet,Aksje,4,200.0,200.0,1932,,,1295.0,228.0,,3273939.0,,1900 - 2000,,8000.0,3,4. mai,,,,,,,,,,,,,,,,,,,,,,19507072.0,200.0,97535.36,13725646.690961119,0.3515109624646051
2,171919370,Unik mulighet! Flott townhouse over 3 plan m/utleiedel - Garasje - Hage - Innerst i blindvei,"Nobels gate 1 D, 0273 Oslo",21600000.0,59.916306,10.697998,https://www.finn.no/realestate/homes/ad.html?finnkode=171919370,550970.0,22150970.0,22916.0,Enebolig,Eier (Selveier),5,239.0,275.0,1931,G - rød,,258.0,303.0,Ja,4379818.0,,1700 - 1800,,,,4. mai,,,,,,,,,,,,,,,,,,,,,,22150970.0,275.0,80548.98181818181,18614946.05260068,0.1739164785975298
3,176648010,Attraktiv 3-roms topp- hjørneleilighet med solrik  balkong og sentral beliggenhet,"Mogata 6A, 0464 Oslo",4490000.0,59.9398,10.7526,https://www.finn.no/realestate/homes/ad.html?finnkode=176648010,8457.0,4564423.0,,Leilighet,Andel,2,60.0,60.0,1942,F - lysegrønn,3,6122.0,66.0,,1114922.0,,17:30 - 18:30,28. april,4379.0,3,,65966.0,29. april,911 84 011,,,,,,,,,,,,,,,,,,,4564423.0,60.0,76073.71666666666,4598954.549233931,-0.007536896196059573
4,176652457,"Holmenkollen Enebolig med praktfull utsikt og stort potensial. Stor, solrik og usjenert tomt. Garasje og hybelleilighet.","Måltrostveien 34, 0786 Oslo",19500000.0,59.964603,10.651463,https://www.finn.no/realestate/homes/ad.html?finnkode=176652457,503170.0,20003170.0,24971.0,Enebolig,Eier (Selveier),4,300.0,377.0,1966,,,2203.0,410.0,,4176447.0,26. april,1400 - 1500,,,,,,,,,,,,,,,,,,,,,,,,,,20003170.0,377.0,53058.80636604774,25264393.184430487,-0.2335052594295952
5,174873280,"Romslig og velholdt endeleilighet|Garasje, elbil-kabel|Innglasset balkong| V.v/fyring inkl.|Nær butikk, marka og t-bane","Haugerudveien 6, 0674 Oslo",3500000.0,59.9187,10.8533,https://www.finn.no/realestate/homes/ad.html?finnkode=174873280,8457.0,3630457.0,,Leilighet,Andel,2,92.0,99.0,1965,G - mørkegrønn,3,98341.0,108.0,,1051210.0,26. april,17:30 - 18:30,28. april,5365.0,4,,122000.0,,984 48 506,9863.0,,,,,,,,,,,,,,,,,,3630457.0,99.0,36671.28282828283,7141390.217286505,-0.6765489300323093
6,168627588,Meget pen 3-roms med nytt bad fra 2017 ~ Nyoppussede overflater  fra 2019 ~ Kvalitet i arbeid og materiale ~ KUN TG1!,"Kalbakkslyngen 7, 0951 Oslo",3300000.0,59.9488,10.8664,https://www.finn.no/realestate/homes/ad.html?finnkode=168627588,8457.0,3463457.0,,Leilighet,Andel,2,64.0,71.0,1956,F - mørkegrønn,3,47352.0,78.0,,805688.0,3. mai,13:00 - 14:00,,3936.0,3,,155000.0,,450 63 919,11139.0,,,,,,,,,,,,,,,,,,3463457.0,71.0,48781.08450704225,5316051.788941068,-0.4284636596752769
7,176640448,Vannkunsten - Rålekker leilighet med fantastisk beliggenhet helt ytterst på brygga,"Operagata 69A, 0194 Oslo",7250000.0,59.906364,10.757631,https://www.finn.no/realestate/homes/ad.html?finnkode=176640448,192820.0,7442820.0,,Leilighet,Eier (Selveier),1,42.9,42.9,2020,A - lysegrønn,2,,,,,,,,,2,,,,,,Eiet,,,,,,,,,,,,,,,,,7442820.0,42.9,173492.3076923077,3484194.2947801105,0.7590129841206679
8,175105271,"Delikat 2 roms selveier i 5.etg med heis, sydvestvendt terrasse og parkering*. Meget sentralt og attraktivt.","President Harbitz' gate 21, 0259 Oslo",5190000.0,59.9202,10.7161,https://www.finn.no/realestate/homes/ad.html?finnkode=175105271,131092.0,5321092.0,,Leilighet,Eier (Selveier),1,50.0,50.0,1969,,2,684.0,55.0,,1160872.0,,18:00 - 19:00,,2000.0,5,,,29. april,484 91 662,,,,,,,,,,,,,,,,,,,5321092.0,50.0,106421.84,3947047.9676819895,0.29871059589393845
9,176636262,"Stor, pen og lys 3-(4) hjørneleil. i toppetg (3. etg). Usjenert balkong m/fritt utsyn. Barnevennlig og god beliggenhet.","Treskeveien 3, 0681 Oslo",4200000.0,59.8934,10.817142,https://www.finn.no/realestate/homes/ad.html?finnkode=176636262,15385.0,4415385.0,,Leilighet,Andel,2,74.0,82.0,1964,F - rød,3,5895.0,89.0,Ja,1006553.0,,1700 - 1800,28. april,3409.0,3,,200000.0,,,174920.0,,,,,,,,,,,,,,,,,,4415385.0,82.0,53846.15853658537,6033149.028648203,-0.3121740684272183
10,176632217,Pen 2(3)-roms med stor vestvendt markterrasse - Bad og kjøkken fra 2017 - Nærhet til marka,"Paal Bergs vei 3, 0692 Oslo",3300000.0,59.8746,10.8395,https://www.finn.no/realestate/homes/ad.html?finnkode=176632217,8757.0,3467757.0,,Leilighet,Andel,2,56.0,56.0,1962,G - mørkegrønn,3,25526.0,62.0,,818375.0,3. mai,13:45 - 14:45,,3895.0,-1,,159000.0,,,15864.0,,,,,,,,,,,,,,,,,,3467757.0,56.0,61924.232142857145,4338191.916613154,-0.2239496649721513
11,160767186,Rekkehus over to plan - moderniseringsbehov - garasje - meget barnevennlig og poplært boområde,"Hallagerbakken 32 f, 1256 Oslo",3990000.0,59.8397,10.7909,https://www.finn.no/realestate/homes/ad.html?finnkode=160767186,11219.0,4226219.0,,Rekkehus,Andel,2,108.0,108.0,1981,D - lysegrønn,,,120.0,,1105752.0,,16:30 - 17:30,,4886.0,,,225000.0,29. april,,20861.0,Eiet,,,,,,,,,,,,,,,,,4226219.0,108.0,39131.65740740741,7728106.140683252,-0.6035560914712601
12,172612766,Representativ topp/ende terrasseleilighet med spektakulært panorama og områdets beste utsikt. Store boder + Garasjeleie.,"Sondrevegen 3 D, 0379 Oslo",11700000.0,59.935013,10.66167,https://www.finn.no/realestate/homes/ad.html?finnkode=172612766,304070.0,12004070.0,,Leilighet,Eier (Selveier),2,160.0,162.0,1971,G - rød,5,3679.0,179.0,Ja,2334413.0,26. april,1500 - 1600,,3691.0,1,,,,,51550.0,,,,,,,,,,,,,,,,,,12004070.0,162.0,74099.1975308642,11248401.68106374,0.06501971318785493
